time,type,x,y
2025-07-08 16:41:50, realtime,380.47,263.89
2025-07-08 16:41:52, realtime,380.60,263.60
2025-07-08 16:41:52, realtime,380.60,263.60
2025-07-08 16:41:55, realtime,380.83,263.49
2025-07-08 16:41:55, realtime,380.83,263.49
2025-07-08 16:41:58, realtime,381.42,263.58
2025-07-08 16:41:58, realtime,381.42,263.58
2025-07-08 16:41:58, realtime,381.42,263.58
2025-07-08 16:42:01, realtime,382.48,263.86
2025-07-08 16:42:01, realtime,382.48,263.86
2025-07-08 16:42:01, realtime,382.48,263.86
2025-07-08 16:42:04, realtime,382.61,263.71
2025-07-08 16:42:04, realtime,382.61,263.71
2025-07-08 16:42:04, realtime,382.61,263.71
2025-07-08 16:42:06, realtime,383.29,263.68
2025-07-08 16:42:06, realtime,383.29,263.68
2025-07-08 16:42:06, realtime,383.29,263.68
2025-07-08 16:42:09, realtime,383.69,263.84
2025-07-08 16:42:09, realtime,383.69,263.84
2025-07-08 16:42:09, realtime,383.69,263.84
2025-07-08 16:42:09, realtime,383.69,263.84
2025-07-08 16:42:12, realtime,384.25,263.78
2025-07-08 16:42:12, realtime,384.25,263.78
2025-07-08 16:42:12, realtime,384.25,263.78
2025-07-08 16:42:12, realtime,384.25,263.78
2025-07-08 16:42:15, realtime,384.64,263.58
2025-07-08 16:42:15, realtime,384.64,263.58
2025-07-08 16:42:15, realtime,384.64,263.58
2025-07-08 16:42:15, realtime,384.64,263.58
2025-07-08 16:42:15, predict,384.64,263.58
2025-07-08 16:42:16, predict,366.73,263.88
2025-07-08 16:42:17, predict,54.84,288.69
2025-07-08 16:42:18, realtime,384.98,263.66
2025-07-08 16:42:18, realtime,384.98,263.66
2025-07-08 16:42:18, realtime,384.98,263.66
2025-07-08 16:42:18, realtime,384.98,263.66
2025-07-08 16:42:18, predict,384.98,263.66
2025-07-08 16:42:19, predict,367.06,263.44
2025-07-08 16:42:20, predict,52.72,288.64
2025-07-08 16:42:20, realtime,385.54,263.77
2025-07-08 16:42:20, realtime,385.54,263.77
2025-07-08 16:42:20, realtime,385.54,263.77
2025-07-08 16:42:20, realtime,385.54,263.77
2025-07-08 16:42:21, predict,385.54,263.77
2025-07-08 16:42:22, predict,367.25,263.26
2025-07-08 16:42:23, predict,50.69,288.45
