timestamp,track_id,cx,cy,w,h
2025-07-04 14:29:01,1,517.3256720698798,382.2404268233627,354.95661369069626,287.5763238353369
2025-07-04 14:29:01,2,545.6211315286362,383.62959219753134,373.77255247196535,288.8449676007544
2025-07-04 14:29:01,4,113.16305314115716,528.6079613008991,171.89469320021342,431.92044396034476
2025-07-04 14:29:01,5,609.2721477339489,237.3405486114446,415.8551464334681,173.06051974953027
2025-07-04 14:29:01,1,517.6907599843399,382.5842696810684,355.3688540748678,287.9153226735999
2025-07-04 14:29:01,2,545.9704910394621,383.63507411781586,373.8477507159696,288.86380734647145
2025-07-04 14:29:01,4,116.63493342761086,527.3857163350215,171.96174941578806,431.8788998109121
2025-07-04 14:29:01,5,609.2128345314622,237.4788311940858,416.45790137986296,173.33200103357564
2025-07-04 14:29:01,6,143.6650292760752,540.6068175752247,129.33490702531054,385.69695050853875
2025-07-04 14:29:02,1,518.0101566036332,382.6684173735936,355.5307947625081,288.04811012797734
2025-07-04 14:29:02,2,546.1883279440815,383.54332466920664,373.72688464441353,288.7049305813391
2025-07-04 14:29:02,4,118.71693593725395,527.2193614731798,172.16478834438303,431.9724818647356
2025-07-04 14:29:02,5,609.2126863105209,237.54272047173447,416.6269213934628,173.42690427345266
2025-07-04 14:29:02,6,143.59889272639774,539.0464307394826,128.49199651348948,384.5509852942355
2025-07-04 14:29:02,1,518.2550357692674,382.6628694552052,355.7580205552631,288.2371941625171
2025-07-04 14:29:02,2,546.7663406644679,383.2474677357852,373.58865169655195,288.4817517783299
2025-07-04 14:29:02,4,120.77736250323662,527.2664863476989,172.4140233243068,432.0029058595354
2025-07-04 14:29:02,5,609.2026949329113,237.60671046948104,416.6325756893016,173.45736529464767
2025-07-04 14:29:02,6,145.70150452100657,539.0218648821688,128.34707068690722,385.18692879718856
2025-07-04 14:29:02,1,518.7450158673826,382.5351449481838,355.92863744442553,288.3675347318548
2025-07-04 14:29:02,2,547.0057201460388,383.20127672968897,373.46824273268226,288.30702102018995
2025-07-04 14:29:02,4,128.3193780783401,525.2378455695828,172.72318630698555,432.01168130812755
2025-07-04 14:29:02,5,609.2215965080211,237.8059826322768,416.91265235711484,173.61742402337444
2025-07-04 14:29:02,6,150.15047965043422,534.7583786082878,126.87130022187444,381.1019405990363
2025-07-04 14:29:03,1,519.1295631489639,382.3477916204698,355.73982446263517,288.1811064110841
2025-07-04 14:29:03,2,547.1778801746423,382.96323583142697,373.5326222798125,288.27954442746625
2025-07-04 14:29:03,4,132.2844948249885,524.6444187724452,173.05978494518405,432.013172189834
2025-07-04 14:29:03,5,609.2596769245287,238.0204232736858,417.16209249625354,173.7737538415401
2025-07-04 14:29:03,6,151.43929760411794,532.581806883554,126.26268627702999,379.5974344839219
2025-07-04 14:29:03,1,519.4381148404046,382.01219765500576,355.28566460012735,287.73621820016785
2025-07-04 14:29:03,2,547.3899989707854,382.8866723241685,373.6110546270865,288.24614415618237
2025-07-04 14:29:03,4,134.10919883215132,523.8836245448132,173.43814085354518,432.01236371006394
2025-07-04 14:29:03,5,609.3109035583631,238.14143227533785,417.1736809119991,173.83147735127994
2025-07-04 14:29:03,6,154.5778815579141,531.0578788248913,125.67468167081802,377.9528658526418
2025-07-04 14:29:03,1,519.6430981906522,381.75160762387355,355.033032918578,287.43435509388644
2025-07-04 14:29:03,2,547.482614517014,382.7736740531315,373.6615368535433,288.1918655783244
2025-07-04 14:29:03,4,135.73579036099596,523.0324156421628,173.85843472518923,431.97046794641545
2025-07-04 14:29:03,5,609.3511834297357,238.2434206713016,417.37245179653763,173.9783284450652
2025-07-04 14:29:03,6,157.88926475819574,529.9339966877023,125.51085297720917,376.8711498369033
2025-07-04 14:29:03,1,519.971188367332,381.51281890130616,355.08072012965226,287.349886885769
2025-07-04 14:29:03,2,547.6909744242596,382.59716127501883,373.5634985894085,287.9935224633696
2025-07-04 14:29:03,4,138.69962199659832,521.6371607651471,174.3185292395695,431.99438059272524
2025-07-04 14:29:03,5,609.4158738221961,238.35127113217857,417.4633655832564,174.08092720477384
2025-07-04 14:29:03,6,162.41511369898654,528.0487769009682,125.62015992105816,375.9366017765665
2025-07-04 14:29:04,1,520.7304795803659,381.6543093865488,355.7775980667956,287.86246748929597
2025-07-04 14:29:04,2,547.7750390217828,382.7356716065497,373.85341142172683,288.1227976258732
2025-07-04 14:29:04,4,140.85468073814275,519.5087304964884,174.84040440766597,432.0027485456253
2025-07-04 14:29:04,5,609.4704955752679,238.5051627920982,417.5743169304146,174.19672552965005
2025-07-04 14:29:04,6,163.5202908821801,525.2835482644396,125.15810362960372,372.9581076373694
2025-07-04 14:29:04,1,521.202712550722,381.77021066323994,356.3057117332659,288.2570041887343
2025-07-04 14:29:04,2,547.8197386777684,382.91713627876027,374.29721276553954,288.4069816003057
2025-07-04 14:29:04,4,143.9235461519876,518.669128076938,175.36278146495022,432.0053068807157
2025-07-04 14:29:04,5,609.48594949851,238.55620647994752,417.61367214140296,174.28375288935518
2025-07-04 14:29:04,6,165.67934912075387,523.9688412615402,125.38173678422625,371.4005572509543
2025-07-04 14:29:04,8,620.0297983068463,220.4327542118955,429.00387916437535,159.39535645795917
2025-07-04 14:29:04,1,521.4925816060319,381.9338326188107,356.84885126397353,288.69257211452964
2025-07-04 14:29:04,2,547.8796656770498,383.0889559354773,374.47642067136826,288.4804481363542
2025-07-04 14:29:04,4,147.40058188068897,518.6245382241655,175.87268258050727,432.00574060157356
2025-07-04 14:29:04,5,609.448773241106,238.71116583150257,417.6201732255899,174.36076099184004
